day,price
2014-05-16,449.5
2014-05-17,472.8
2014-05-19,447.35
2014-05-20,457.8
2014-05-21,495.4
2014-05-22,521.95
2014-05-26,580
2014-05-27,566.432
2014-05-28,570.76
2014-05-29,564.8
2014-05-30,610.95
2014-06-02,653.04
2014-06-03,670.11
2014-06-04,643.21
2014-06-05,660
2014-06-06,659.18
2014-06-07,653.6
2014-06-08,654.5
2014-06-09,647.82
2014-06-10,654.9
2014-06-11,642.99
2014-06-12,602.1
2014-06-13,611.07
2014-06-14,590.4
2014-06-16,592
2014-06-17,598
2014-06-18,605.05
2014-06-20,590.9
2014-06-21,591
2014-06-22,595
2014-06-23,587.9
2014-06-25,569
2014-06-28,590.01
2014-06-30,631.12
2014-07-10,615.87
2014-07-11,627.61
2014-07-14,620
2014-07-15,622.4
2014-07-16,618.85
2014-07-17,621.6
2014-07-18,622.53
2014-07-22,620.93
2014-07-23,621.19
2014-07-24,601.55
2014-07-25,601.47
2014-07-26,590.85
2014-07-27,593.04
2014-07-28,583.98
2014-07-29,582.26
2014-07-30,572
2014-07-31,575.78
2014-08-01,594.91
2014-08-02,591.67
2014-08-03,587.21
2014-08-04,589.23
2014-08-05,580.56
2014-08-06,580.51
2014-08-07,587.51
2014-08-08,588.71
2014-08-12,569.1
2014-08-13,547.65
2014-08-14,509.5
2014-08-15,509.5
2014-08-16,518.1
2014-08-18,479.1
2014-08-19,484.75
2014-08-20,499
2014-08-21,523.72
2014-08-22,518.84
2014-08-23,508.65
2014-08-25,504.33
2014-08-26,511.81
2014-08-27,523.01
2014-08-28,508.5
2014-08-29,509
2014-08-31,509
2014-09-01,479.81
2014-09-02,477.32
2014-09-03,477.31
2014-09-04,480.61
2014-09-05,487.11
2014-09-08,466.83
2014-09-09,462.07
2014-09-10,487.29
2014-09-11,475.19
2014-09-12,471.48
2014-09-13,475.19
2014-09-15,474.96
2014-09-16,467.65
2014-09-17,462.03
2014-09-18,435.39
2014-09-19,400
2014-09-20,407.48
2014-09-23,434
2014-09-24,446
2014-09-25,412
2014-09-26,413
2014-09-27,407
2014-09-28,406
2014-09-29,412
2014-09-30,404
2014-10-01,391
2014-10-02,383
2014-10-03,396
2014-10-04,389
2014-10-05,310
2014-10-06,331
2014-10-07,326
2014-10-08,349
2014-10-09,382
2014-10-10,357
2014-10-11,355
2014-10-13,383
2014-10-14,398
2014-10-15,392
2014-10-16,385
2014-10-17,380
2014-10-18,379
2014-10-20,384
2014-10-21,386
2014-10-22,385
2014-10-23,364.99
2014-10-24,359
2014-10-25,354
2014-10-26,361
2014-10-27,355.99
2014-10-28,359
2014-10-29,338
2014-10-30,350.01
2014-10-31,337
2014-11-01,326.99
2014-11-02,330
2014-11-03,327
2014-11-04,335
2014-11-05,343
2014-11-06,349.01
2014-11-07,345
2014-11-08,349
2014-11-09,360.99
2014-11-10,365
2014-11-12,421.99
2014-11-13,419.94
2014-11-14,384.99
2014-11-16,389
2014-11-17,387
2014-11-18,383.99
2014-11-19,379
2014-11-21,352.65
2014-11-22,362
2014-11-23,371
2014-11-24,379
2014-11-25,379
2014-11-26,370
2014-11-27,368
2014-11-28,380
2014-11-29,375
2014-11-30,375
2014-12-01,382
2014-12-02,380
2014-12-03,375.07
2014-12-04,376
2014-12-05,381
2014-12-06,373
2014-12-07,375
2014-12-08,368
2014-12-09,355.99
2014-12-10,349
2014-12-11,350
2014-12-12,356
2014-12-13,352
2014-12-14,355.99
2014-12-15,345.01
2014-12-16,328.99
2014-12-17,323
2014-12-18,313
2014-12-19,323
2014-12-20,325.9
2014-12-21,326
2014-12-22,329
2014-12-23,337.77
2014-12-24,324.07
2014-12-25,324
2014-12-26,328
2014-12-27,320
2014-12-28,321
2014-12-29,317.99
2014-12-30,313.99
2014-12-31,320
2015-01-01,317.01
2015-01-02,316
2015-01-03,290.01
2015-01-04,269.99
2015-01-05,269.01
2015-01-06,279.99
2015-01-07,301
2015-01-08,287
2015-01-09,286
2015-01-10,280
2015-01-11,287
2015-01-12,273
2015-01-13,227
2015-01-14,186.89
2015-01-15,207
2015-01-16,211.99
2015-01-17,205
2015-01-18,252
2015-01-19,212
2015-01-20,210
2015-01-21,228
2015-01-22,236
2015-01-23,238
2015-01-24,239
2015-01-25,249
2015-01-26,269
2015-01-27,256
2015-01-28,223
2015-01-29,231
2015-01-31,225
2015-02-01,231.02
2015-02-02,232
2015-02-03,225
2015-02-04,224
2015-02-05,224.49
2015-02-06,224.99
2015-02-07,224.99
2015-02-09,226.9
2015-02-10,225
2015-02-11,223
2015-02-12,226
2015-02-13,240
2015-02-14,266.88
2015-02-15,235.25
2015-02-16,238.01
2015-02-17,242.09
2015-02-18,238
2015-02-19,240.01
2015-02-20,239.01
2015-02-23,238.99
2015-02-24,234
2015-02-25,236
2015-02-26,239
2015-02-27,257.97
2015-03-01,245
2015-03-02,269.99
2015-03-03,275
2015-03-04,269.054
2015-03-05,271.89
2015-03-06,270
2015-03-09,283
2015-03-10,288.5
2015-03-11,292.99
2015-03-12,297.8
2015-03-14,493.71
2015-03-15,281
2015-03-16,286.85
2015-03-17,279.01
2015-03-18,250.01
2015-03-19,251
2015-03-20,257
2015-03-23,261
2015-03-24,269.64
2015-03-25,244
2015-03-26,244
2015-03-27,259.97
2015-03-29,240
2015-03-30,246
2015-03-31,237
2015-04-01,242
2015-04-02,249
2015-04-03,249
2015-04-07,270
2015-04-08,237
2015-04-09,243.99
2015-04-10,239
2015-04-11,239
2015-04-12,238
2015-04-13,223.06
2015-04-16,224
2015-04-20,217
2015-04-21,227
2015-04-25,252.78
2015-04-27,228
2015-04-28,222.4389844
2015-04-30,254
2015-05-04,234.65
2015-05-05,231.066
2015-05-06,245.58
2015-05-07,236
2015-05-08,241.01
2015-05-09,241.01
2015-05-11,242
2015-05-13,237
2015-05-14,231.07
2015-05-15,235
2015-05-16,236
2015-05-17,230
2015-05-18,231
2015-05-19,232
2015-05-21,233.01
2015-05-22,240.99
2015-05-25,236
2015-05-26,239
2015-05-27,235.01
2015-05-28,238
2015-05-29,236
2015-06-01,225.55
2015-06-02,224.8
2015-06-07,223
2015-06-09,226
2015-06-10,226
2015-06-11,226
2015-06-16,256.37
2015-06-17,262.5
2015-06-18,245.01
2015-06-19,248
2015-06-20,245
2015-06-21,243
2015-06-22,249
2015-06-24,242.01
2015-06-26,249.726
2015-06-27,248.1706501
2015-06-29,250
2015-06-30,263.01
2015-07-01,268.947
2015-07-02,254
2015-07-05,269
2015-07-06,282.86
2015-07-07,272.92
2015-07-08,282.97
2015-07-09,279.91
2015-07-10,292.62
2015-07-13,287.94
2015-07-14,287.99
2015-07-15,286
2015-07-16,274
2015-07-17,276
2015-07-19,275
2015-07-20,273.54
2015-07-21,274.34
2015-07-22,479.39
2015-07-23,279.14
2015-07-24,283.07
2015-07-25,288
2015-07-27,295
2015-07-28,293.03
2015-07-29,291.01
2015-07-30,288.01
2015-07-31,290
2015-08-01,290
2015-08-02,287
2015-08-03,287
2015-08-04,287
2015-08-05,287
2015-08-06,287
2015-08-07,275
2015-08-08,270
2015-08-09,265
2015-08-10,263
2015-08-11,370.01
2015-08-17,263
2015-08-18,244.05
2015-08-19,232.85
2015-08-23,229
2015-08-25,227
2015-09-01,240
2015-09-03,224
2015-09-04,224
2015-09-09,224
2015-09-21,223.99
2015-09-22,230
2015-09-23,277.21
2015-09-24,254.57
2015-09-25,237.09
2015-09-26,234
2015-09-27,234
2015-09-28,254.99
2015-09-30,236
2015-10-02,234
2015-10-05,234
2015-10-06,244
2015-10-08,243
2015-10-09,277.89
2015-10-13,241.01
2015-10-14,250
2015-10-15,253
2015-10-16,261
2015-10-17,270
2015-10-19,260
2015-10-20,266
2015-10-21,262
2015-10-22,268
2015-10-23,271
2015-10-24,268
2015-10-26,279
2015-10-28,295
2015-10-29,301
2015-10-30,325
